"01-446 Aurora" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,171 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,130 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,11 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,57 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,19 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,63 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,18 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,12 ,
"01-446 Aurora" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,171 ,
"01-446 Aurora" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,159 ,
"01-446 Aurora" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-446 Aurora" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Kelly, Pete" ,"REP" ,"Total" ,159 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,171 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Dodge, Kathryn E." ,"DEM" ,"Total" ,148 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"LeBon, Barton S." ,"REP" ,"Total" ,139 ,
"01-446 Aurora" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Falke, Wolfgang" ,"REP" ,"Total" ,49 ,
"01-455 Fairbanks No. 1" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,5 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,17 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,7 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,8 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,5 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,9 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,26 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,32 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,6 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,24 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,0 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,14 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,35 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,3 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,7 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,15 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,3 ,
"01-455 Fairbanks No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,7 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,40 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Kelly, Pete" ,"REP" ,"Total" ,34 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Dodge, Kathryn E." ,"DEM" ,"Total" ,39 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,512 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,42 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"LeBon, Barton S." ,"REP" ,"Total" ,33 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Falke, Wolfgang" ,"REP" ,"Total" ,7 ,
"01-465 Fairbanks No. 2" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,70 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,8 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,32 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,15 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,12 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,90 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,13 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,16 ,
"01-465 Fairbanks No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,59 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,70 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,57 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,12 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,90 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,41 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,3 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,4 ,
"01-465 Fairbanks No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,39 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,70 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,61 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
