Precinct	"Aguayo, Dennis W. ""Denny"" - NON"	"Armstrong, Jay R. - REP"	"Beal, Brian T. - UND"	"Beck, Tim - UND"	"Begich, Nick - REP"	"Brelsford, Gregg B. - UND"	"Brown, Robert - NON"	"Bye, Chris - LIB"	"Callahan, John T. - REP"	"Carle, Arlene - NON"	"Claus, Santa - UND"	"Coghill, John B. Jr. - REP"	"Constant, Christopher S. - DEM"	"Dutchess, Lady Donna - NON"	"Florschutz, Otto H. III - REP"	"Foster, Laurel A. - NON"	"Gibbons, Thomas R. ""Tom"" - REP"	"Griffin, Karyn - UND"	"Gross, Al - NON"	"Halcro, Andrew J. - NON"	"Heintz, Ted S. - NON"	"Hibler, William D. III ""Bill"" - NON"	"Howe, John Wayne - AIP"	"Hughes, David - UND"	"Knight, Don - NON"	"Lowenfels, Jeff B. - NON"	"Lyons, Robert ""Bob"" - REP"	"McCabe, Anne M. - NON"	"Melander, Mikel E. - REP"	"Mettler, Sherry M. - UND"	"Milligan, Mike - DEM"	"Myers, J.R. - LIB"	"Notti, Emil - DEM"	"Ornelas, Robert"	"Palin, Sarah - REP"	"Pellegrini, Silvio E. - UND"	"Peltola, Mary S. - DEM"	"Revak, Joshua C. - REP"	"Sumner, Maxwell - REP"	"Sweeney, Tara M. - REP"	"Thistle, David - UND"	"Thomas, Ernest F. - DEM"	"Trotter, Richard ""Clayton"" - REP"	"Welter, Bradley D. - REP"	"Williams, Jason G. - UND"	"Woodward, Jo - REP"	"Wool, Adam L. - DEM"	"Wright, Stephen - REP"
District 13 - Absentee	1	7	0	1	646	3	0	28	2	0	123	39	92	3	0	16	4	0	226	52	0	0	4	2	1	100	4	2	0	0	5	5	16	1	791	1	171	83	2	137	0	6	6	1	0	1	8	7
District 14 - Absentee	1	8	1	1	1289	15	0	34	7	2	201	81	235	1	1	24	6	0	590	147	0	0	10	2	1	261	15	2	0	3	17	7	16	1	1283	0	407	213	3	305	1	4	4	1	0	2	18	11
District 15 - Absentee	0	6	0	0	343	1	0	10	4	2	89	19	116	1	2	11	2	0	156	18	1	0	4	0	0	60	1	1	1	0	18	5	8	1	373	3	136	34	1	83	0	10	9	0	0	0	6	7
District 16 - Absentee	0	4	0	2	554	4	1	11	1	0	173	48	260	5	2	14	6	0	414	74	1	1	7	0	1	168	1	3	0	1	13	5	38	3	606	2	384	82	0	223	0	9	3	1	0	1	17	9
District 17 - Absentee	0	4	0	1	458	9	1	13	1	4	144	51	227	0	1	8	2	2	393	67	0	0	4	0	3	189	5	2	1	3	9	11	34	2	446	2	376	66	1	152	0	2	0	0	0	0	24	2
District 18 - Absentee	0	6	0	0	442	8	1	10	1	1	234	25	369	3	1	3	0	4	520	130	1	0	11	1	0	220	1	2	0	3	13	5	23	2	467	0	540	62	1	212	0	15	5	1	0	0	14	4
District 19 - Absentee	1	1	0	1	267	0	0	7	0	0	125	18	159	2	0	4	1	5	277	65	1	0	3	0	2	99	2	2	0	2	19	4	43	2	325	0	285	32	2	111	0	4	1	1	0	1	13	5
District 20 - Absentee	0	3	0	2	390	7	1	13	1	1	213	32	447	4	2	10	1	1	463	143	3	0	4	1	1	205	2	2	0	1	9	4	36	0	355	3	515	61	2	239	0	6	1	0	0	6	15	1
District 21 - Absentee	1	4	1	2	753	3	0	15	2	3	212	60	376	2	0	10	0	0	581	195	3	0	5	1	3	369	5	2	0	1	12	8	47	1	689	2	697	101	1	334	0	5	1	1	1	0	23	6
District 22 - Absentee	1	0	0	2	944	4	1	20	4	2	216	59	287	4	1	5	3	0	456	213	0	2	3	0	3	305	2	2	0	5	17	7	25	1	812	0	400	125	0	399	1	4	2	0	0	2	25	6
District 23 - Absentee	1	3	0	0	595	6	1	14	3	2	136	36	240	1	0	11	2	0	347	78	2	0	8	2	1	155	2	4	0	2	14	6	35	0	755	1	269	54	1	196	0	6	2	0	1	1	18	2
District 24 - Absentee	0	12	1	1	1190	7	0	27	3	3	201	46	342	2	4	12	1	0	579	188	0	3	2	1	0	389	3	3	0	1	13	4	21	1	1054	2	376	167	5	459	2	3	8	0	0	0	21	5
District 25 - Absentee	0	4	0	1	711	5	0	10	4	5	199	41	281	2	3	13	0	2	504	102	3	0	7	0	0	260	2	0	0	1	27	1	32	3	736	3	403	350	2	266	0	3	4	0	0	0	15	1
District 26 - Absentee	0	5	0	1	1163	8	0	24	3	5	175	59	300	0	2	11	2	2	518	130	3	0	8	1	0	278	4	3	0	3	14	6	26	0	971	3	396	299	1	419	0	3	4	1	0	2	15	4
District 27 - Absentee	0	3	0	0	1021	18	0	15	3	0	199	45	313	8	1	7	3	1	590	141	2	0	5	0	0	257	7	2	0	0	14	5	50	0	828	0	448	103	0	234	0	6	8	0	1	1	34	8
District 28 - Absentee	0	2	0	0	1630	17	0	30	1	11	277	108	436	0	1	10	0	2	996	288	2	0	4	0	2	564	0	8	2	1	19	5	22	0	1124	1	729	246	2	672	1	1	5	1	0	0	23	4
District 29 - Absentee	0	11	0	3	1132	9	2	41	6	1	149	86	100	3	6	14	1	4	550	65	2	0	8	1	0	143	3	12	3	17	21	7	26	1	2252	2	290	65	1	202	1	2	1	0	1	1	17	17
District 30 - Absentee	0	3	1	2	1006	8	2	27	3	0	182	117	68	1	4	5	4	2	409	60	2	0	13	0	2	112	3	10	0	16	24	11	27	3	1865	2	238	68	3	237	1	1	2	1	2	1	17	6
District 31 - Absentee	0	4	1	2	1235	6	2	31	4	3	321	84	142	2	0	5	3	5	1190	71	4	1	18	0	0	221	0	9	0	6	32	19	43	7	2097	6	615	81	3	210	2	5	1	0	0	1	28	18
District 32 - Absentee	1	7	1	4	426	6	2	31	5	5	144	55	52	0	6	7	3	3	650	34	3	0	6	0	0	58	5	1	0	2	89	10	52	1	1006	3	358	63	4	233	1	4	2	0	3	1	12	6
District 33 - Absentee	0	1	0	4	583	16	2	25	4	4	393	116	114	6	14	3	4	4	1307	45	3	1	5	0	4	93	8	0	0	1	19	8	111	3	573	4	1606	61	2	129	0	4	1	0	2	2	91	10
District 34 - Absentee	0	12	0	0	769	5	2	44	1	4	298	215	92	1	5	9	1	4	1099	41	1	0	9	0	0	95	2	2	1	0	13	4	62	3	815	2	907	142	1	160	2	5	2	1	1	0	70	3
District 35 - Absentee	4	4	3	2	466	13	2	26	0	8	189	57	60	0	28	6	1	3	1193	33	2	1	11	0	3	36	6	2	1	3	15	5	66	6	1428	3	593	78	3	105	2	8	2	2	1	0	31	13
District 36 - Absentee	1	7	0	1	664	8	3	26	1	11	129	75	57	4	72	5	1	5	720	15	3	1	11	2	1	25	5	2	1	2	13	12	39	4	1191	1	280	131	7	132	2	8	0	2	1	1	13	14
District 37 - Absentee	2	12	0	3	297	13	0	8	1	0	57	45	20	0	0	3	0	0	152	14	0	0	8	2	2	11	3	4	0	1	7	3	80	3	487	0	279	15	1	150	1	15	5	2	1	1	4	9
District 38 - Absentee	2	7	0	1	227	1	3	5	3	0	39	18	13	2	0	21	2	1	95	8	1	0	15	4	3	5	9	4	0	3	7	3	96	2	252	0	832	5	1	121	0	9	1	3	5	2	10	4
District 39 - Absentee	0	3	2	0	292	5	2	11	3	2	50	29	14	0	2	18	4	1	141	13	0	1	19	1	0	11	5	0	0	2	7	5	190	1	240	6	287	9	1	354	0	6	1	2	0	1	8	2
District 40 - Absentee	0	4	1	1	90	0	0	8	0	1	50	16	12	1	0	1	1	4	85	4	0	1	3	4	4	2	1	0	0	2	7	5	63	2	164	0	126	11	0	778	0	4	5	0	1	1	14	3
District 1 - Early Voting	0	1	1	2	23	0	0	2	0	0	10	14	2	1	0	1	0	0	20	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	42	0	14	2	0	7	0	0	0	0	0	0	12	0
District 2 - Early Voting	0	0	0	0	24	0	0	0	0	0	2	4	1	0	0	0	0	0	7	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	27	0	3	1	0	2	0	0	0	0	0	0	3	0
District 3 - Early Voting	0	0	0	0	49	0	0	3	1	0	1	12	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	63	0	6	2	0	4	0	0	0	0	0	0	2	0
District 4 - Early Voting	0	0	0	0	35	0	0	6	0	0	35	15	1	0	0	0	0	0	14	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	53	0	23	1	0	9	0	0	0	0	0	0	28	0
District 5 - Early Voting	0	0	0	0	46	1	0	0	0	0	8	1	3	0	0	1	0	0	23	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	41	0	15	2	0	4	0	0	0	0	0	0	20	0
District 6 - Early Voting	0	0	0	0	18	0	0	0	0	0	4	4	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	44	0	2	3	0	0	0	0	0	0	0	0	1	0
District 7 - Early Voting	0	0	0	0	107	3	0	0	0	0	5	4	1	1	0	0	0	0	4	0	0	0	0	0	0	5	2	1	0	0	0	1	0	1	132	0	8	5	2	7	0	0	2	0	0	0	2	1
District 8 - Early Voting	0	0	0	0	86	0	0	3	0	0	6	5	3	0	0	0	0	0	9	0	0	0	1	0	0	2	6	0	0	0	0	1	0	0	144	0	5	1	0	7	0	0	0	0	0	0	0	4
District 9 - Early Voting	0	0	0	0	75	1	0	0	0	0	4	4	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	97	0	9	2	0	4	0	0	0	0	0	0	0	0
District 10 - Early Voting	0	1	0	1	91	0	0	0	0	0	3	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	121	0	6	4	0	4	0	0	3	0	0	0	1	1
District 11 - Early Voting	0	1	0	0	132	1	0	2	0	3	8	7	3	0	0	0	0	0	17	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	139	0	13	0	1	6	0	0	0	0	0	0	0	0
District 12 - Early Voting	0	2	0	1	89	0	0	2	0	0	4	7	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	85	0	5	2	0	7	0	0	0	0	0	0	1	0
District 13 - Early Voting	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
District 14 - Early Voting	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0
District 15 - Early Voting	0	0	0	0	9	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	10	0	4	0	0	2	0	1	0	0	0	0	0	1
District 16 - Early Voting	0	0	0	0	16	0	0	1	0	0	6	0	5	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	7	0	12	0	0	1	0	0	0	0	0	0	0	0
District 17 - Early Voting	0	0	0	0	10	0	0	1	0	0	2	0	1	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	0	9	2	0	3	0	0	0	0	0	0	0	0
District 18 - Early Voting	0	0	0	0	21	0	0	0	0	0	6	2	4	0	0	0	0	0	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	2	29	0	13	1	0	9	0	0	0	0	0	0	0	0
District 19 - Early Voting	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	1	0	0	4	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	7	0	6	1	0	1	0	0	0	0	0	0	0	0
District 20 - Early Voting	0	0	0	0	17	0	0	0	0	0	4	0	8	0	0	0	0	1	10	3	0	0	0	0	0	3	0	0	0	0	1	0	1	0	11	0	27	2	1	11	0	0	1	0	0	0	1	0
District 21 - Early Voting	0	0	0	0	15	0	0	2	0	0	2	1	3	0	0	0	0	0	8	3	0	0	0	0	0	3	0	0	0	0	1	0	1	0	14	0	15	1	0	5	0	0	0	0	0	0	3	0
District 22 - Early Voting	0	0	0	0	14	0	0	1	0	0	2	0	2	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	18	0	3	4	0	5	0	0	0	0	0	0	0	1
District 23 - Early Voting	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	25	0	1	1	0	2	0	0	0	0	0	0	1	0
District 24 - Early Voting	0	0	0	0	12	0	0	0	0	0	4	0	1	0	3	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	5	0	0	11	0	0	1	0	0	0	1	2
District 25 - Early Voting	0	0	0	0	21	0	0	1	0	0	0	0	2	0	0	0	0	0	7	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	12	0	9	1	0	5	0	0	0	0	0	0	1	1
District 26 - Early Voting	0	0	0	1	24	0	0	0	0	0	1	2	5	0	0	0	0	0	8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	39	0	6	6	0	5	0	0	0	0	1	0	0	0
District 27 - Early Voting	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	7	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	12	0	4	2	0	6	0	1	0	0	0	0	0	0
District 28 - Early Voting	0	0	0	0	31	0	0	1	0	0	6	3	4	0	0	0	0	0	6	3	0	0	0	0	0	6	0	0	0	0	1	0	0	0	22	0	8	0	0	6	0	0	0	0	0	0	0	0
District 29 - Early Voting	0	0	0	0	16	0	0	0	0	0	2	1	0	0	0	0	0	0	8	1	0	0	0	0	0	5	0	1	0	0	0	0	0	0	55	0	2	1	0	2	0	0	0	0	0	0	0	0
District 30 - Early Voting	0	0	0	0	20	2	0	0	0	0	1	1	0	0	0	0	0	0	4	1	0	0	0	1	0	2	0	0	0	0	0	1	0	1	70	0	6	0	0	9	0	1	0	0	0	0	1	1
District 31 - Early Voting	0	0	0	0	52	0	0	1	0	0	2	2	2	0	0	0	0	0	33	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	75	1	32	3	0	5	0	0	2	0	0	0	0	0
District 32 - Early Voting	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
District 33 - Early Voting	0	0	0	0	29	1	1	3	0	0	16	8	5	0	0	0	0	0	27	2	0	0	1	0	0	3	0	0	0	0	2	0	0	0	16	0	69	4	0	9	0	0	0	0	0	0	4	0
District 34 - Early Voting	0	1	0	1	73	0	0	3	0	0	8	9	6	0	0	0	0	1	31	1	0	0	0	0	0	3	0	0	0	1	0	0	3	0	64	0	46	5	1	9	0	1	0	0	0	0	2	0
District 35 - Early Voting	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0
District 36 - Early Voting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
District 37 - Early Voting	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
District 38 - Early Voting	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
District 39 - Early Voting	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	1	0	4	0	0	0	0	0	0	0	0
District 40 - Early Voting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HD99 Fed Overseas Absentee	0	1	0	0	4	2	0	4	0	0	24	4	15	0	0	0	0	0	29	1	0	0	0	0	0	7	0	1	0	0	1	1	1	0	24	0	46	3	0	2	0	0	2	0	0	0	7	3
Total	31	286	19	96	30861	284	36	1049	114	107	7625	3842	6224	87	193	338	94	67	20392	3013	70	25	380	54	46	5994	197	118	17	92	608	285	1777	83	43601	70	16265	3785	133	9560	23	199	121	24	37	44	2730	332
