"ELECTION_DATE","ELECTION_NAME","CONTEST_ID","CONTEST_NAME","PRECINCT_NUMBER","WARD","CANDIDATE","PARTY","VOTES"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Brandon Todd","DEM","222"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Ron Austin","DEM","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Glova Scott","IND","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Acqunetta Anderson","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Douglass Sloan","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Pedro Rubio, Jr.","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Renee L. Bowser","DEM","119"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Leon T. Andrews, Jr.","DEM","78"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Edwin W. Powell","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Judi Jones","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Bobvala Tengen","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Dwayne M. Toliver","DEM","54"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","Gwenellen Corley-Bowman","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","WRITE-IN","NON","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","OVER VOTES","","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","46","4","UNDER VOTES","","3"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","47","4","REGISTERED VOTERS - TOTAL","","3945"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","47","4","BALLOTS CAST - TOTAL","","492"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Brandon Todd","DEM","194"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Ron Austin","DEM","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Glova Scott","IND","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Acqunetta Anderson","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Douglass Sloan","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Pedro Rubio, Jr.","DEM","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Renee L. Bowser","DEM","121"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Leon T. Andrews, Jr.","DEM","100"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Edwin W. Powell","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Judi Jones","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Bobvala Tengen","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Dwayne M. Toliver","DEM","42"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","Gwenellen Corley-Bowman","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","WRITE-IN","NON","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","OVER VOTES","","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","47","4","UNDER VOTES","","2"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","48","4","REGISTERED VOTERS - TOTAL","","3473"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","48","4","BALLOTS CAST - TOTAL","","595"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Brandon Todd","DEM","247"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Ron Austin","DEM","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Glova Scott","IND","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Acqunetta Anderson","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Douglass Sloan","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Pedro Rubio, Jr.","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Renee L. Bowser","DEM","119"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Leon T. Andrews, Jr.","DEM","116"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Edwin W. Powell","DEM","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Judi Jones","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Bobvala Tengen","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Dwayne M. Toliver","DEM","79"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","Gwenellen Corley-Bowman","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","WRITE-IN","NON","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","OVER VOTES","","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","48","4","UNDER VOTES","","2"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","49","4","REGISTERED VOTERS - TOTAL","","1087"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","49","4","BALLOTS CAST - TOTAL","","128"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Brandon Todd","DEM","51"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Ron Austin","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Glova Scott","IND","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Acqunetta Anderson","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Douglass Sloan","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Pedro Rubio, Jr.","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Renee L. Bowser","DEM","30"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Leon T. Andrews, Jr.","DEM","25"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Edwin W. Powell","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Judi Jones","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Bobvala Tengen","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Dwayne M. Toliver","DEM","8"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","Gwenellen Corley-Bowman","DEM","7"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","WRITE-IN","NON","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","OVER VOTES","","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","49","4","UNDER VOTES","","2"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","51","4","REGISTERED VOTERS - TOTAL","","4473"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","51","4","BALLOTS CAST - TOTAL","","1033"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Brandon Todd","DEM","515"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Ron Austin","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Glova Scott","IND","9"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Acqunetta Anderson","DEM","8"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Douglass Sloan","DEM","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Pedro Rubio, Jr.","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Renee L. Bowser","DEM","137"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Leon T. Andrews, Jr.","DEM","171"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Edwin W. Powell","DEM","14"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Judi Jones","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Bobvala Tengen","DEM","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Dwayne M. Toliver","DEM","159"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","Gwenellen Corley-Bowman","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","WRITE-IN","NON","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","OVER VOTES","","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","51","4","UNDER VOTES","","0"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","52","4","REGISTERED VOTERS - TOTAL","","1683"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","52","4","BALLOTS CAST - TOTAL","","387"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Brandon Todd","DEM","215"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Ron Austin","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Glova Scott","IND","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Acqunetta Anderson","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Douglass Sloan","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Pedro Rubio, Jr.","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Renee L. Bowser","DEM","50"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Leon T. Andrews, Jr.","DEM","79"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Edwin W. Powell","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Judi Jones","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Bobvala Tengen","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Dwayne M. Toliver","DEM","36"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","Gwenellen Corley-Bowman","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","WRITE-IN","NON","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","OVER VOTES","","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","52","4","UNDER VOTES","","1"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","53","4","REGISTERED VOTERS - TOTAL","","1600"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","53","4","BALLOTS CAST - TOTAL","","285"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Brandon Todd","DEM","110"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Ron Austin","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Glova Scott","IND","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Acqunetta Anderson","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Douglass Sloan","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Pedro Rubio, Jr.","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Renee L. Bowser","DEM","63"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Leon T. Andrews, Jr.","DEM","37"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Edwin W. Powell","DEM","7"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Judi Jones","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Bobvala Tengen","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Dwayne M. Toliver","DEM","47"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","Gwenellen Corley-Bowman","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","WRITE-IN","NON","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","OVER VOTES","","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","53","4","UNDER VOTES","","2"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","54","4","REGISTERED VOTERS - TOTAL","","2961"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","54","4","BALLOTS CAST - TOTAL","","474"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Brandon Todd","DEM","220"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Ron Austin","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Glova Scott","IND","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Acqunetta Anderson","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Douglass Sloan","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Pedro Rubio, Jr.","DEM","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Renee L. Bowser","DEM","127"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Leon T. Andrews, Jr.","DEM","78"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Edwin W. Powell","DEM","9"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Judi Jones","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Bobvala Tengen","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Dwayne M. Toliver","DEM","22"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","Gwenellen Corley-Bowman","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","WRITE-IN","NON","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","OVER VOTES","","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","54","4","UNDER VOTES","","0"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","55","4","REGISTERED VOTERS - TOTAL","","2953"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","55","4","BALLOTS CAST - TOTAL","","405"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Brandon Todd","DEM","199"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Ron Austin","DEM","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Glova Scott","IND","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Acqunetta Anderson","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Douglass Sloan","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Pedro Rubio, Jr.","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Renee L. Bowser","DEM","79"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Leon T. Andrews, Jr.","DEM","62"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Edwin W. Powell","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Judi Jones","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Bobvala Tengen","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Dwayne M. Toliver","DEM","23"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","Gwenellen Corley-Bowman","DEM","10"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","WRITE-IN","NON","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","OVER VOTES","","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","55","4","UNDER VOTES","","1"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","56","4","REGISTERED VOTERS - TOTAL","","3914"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","56","4","BALLOTS CAST - TOTAL","","518"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Brandon Todd","DEM","232"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Ron Austin","DEM","7"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Glova Scott","IND","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Acqunetta Anderson","DEM","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Douglass Sloan","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Pedro Rubio, Jr.","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Renee L. Bowser","DEM","117"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Leon T. Andrews, Jr.","DEM","99"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Edwin W. Powell","DEM","9"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Judi Jones","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Bobvala Tengen","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Dwayne M. Toliver","DEM","34"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","Gwenellen Corley-Bowman","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","WRITE-IN","NON","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","OVER VOTES","","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","56","4","UNDER VOTES","","4"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","57","4","REGISTERED VOTERS - TOTAL","","3113"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","57","4","BALLOTS CAST - TOTAL","","474"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Brandon Todd","DEM","155"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Ron Austin","DEM","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Glova Scott","IND","3"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Acqunetta Anderson","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Douglass Sloan","DEM","7"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Pedro Rubio, Jr.","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Renee L. Bowser","DEM","217"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Leon T. Andrews, Jr.","DEM","43"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Edwin W. Powell","DEM","11"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Judi Jones","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Bobvala Tengen","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Dwayne M. Toliver","DEM","19"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","Gwenellen Corley-Bowman","DEM","5"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","WRITE-IN","NON","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","OVER VOTES","","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","57","4","UNDER VOTES","","0"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","58","4","REGISTERED VOTERS - TOTAL","","2722"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","58","4","BALLOTS CAST - TOTAL","","413"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","58","4","Brandon Todd","DEM","187"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","58","4","Ron Austin","DEM","16"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","58","4","Glova Scott","IND","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","58","4","Acqunetta Anderson","DEM","2"
